Parieur:Saison:Bankroll:Gain brut:Gain moyen:Total des mises:Bénéfice:ROC:ROI:Journée d'arrêt:Victoires:Défaites:Effectués:Pari domicile:Pari nul:Pari extérieur
Fou:1:302,25:1880,64:8,77:1815,39:65,25:27,53:3,59::75:132:207:76:67:64
Fou:2:255,86:1720,24:8,77:1701,38:18,86:7,96:1,11::64:130:194:69:55:70
Fou:3:806,26:2165,4:8,77:1596,14:569,26:240,19:35,66::65:117:182:64:53:65
Fou:4:538,69:2117,08:8,77:1815,39:301,69:127,29:16,62::65:142:207:83:65:59
Fou:5:63,27:1361,02:8,77:1534,75:-173,73:-73,31:-11,32::49:126:175:60:59:56
Fou:6:677,87:2001,93:8,77:1561,06:440,87:186,02:28,24::62:116:178:57:58:63
Fou:7:444,5:2049,2:8,77:1841,7:207,5:87,55:11,27::70:140:210:76:62:72
Fou:8:790,21:2219,51:8,77:1666,3:553,21:233,42:33,2::68:122:190:68:64:58
Fou:9:621,56:2173,64:8,77:1789,08:384,56:162,26:21,5::72:132:204:71:70:63
Fou:10:230,77:1642,53:8,77:1648,76:-6,23:-2,63:-0,38::54:134:188:70:54:64
Fou:11:280,94:1885,64:8,77:1841,7:43,94:18,54:2,39::55:155:210:68:77:65
Fou:12:1104,79:2727,03:8,77:1859,24:867,79:366,16:46,67::79:133:212:65:64:83
Fou:13:836,34:2265,64:8,77:1666,3:599,34:252,89:35,97::68:122:190:58:63:69
Fou:14:397,32:1940,63:8,77:1780,31:160,32:67,64:9::67:136:203:69:67:67
Fou:15:1172,85:2751,24:8,77:1815,39:935,85:394,87:51,55::79:128:207:63:76:68
Fou:16:327,33:1712,78:8,77:1622,45:90,33:38,11:5,57::60:125:185:51:67:67
Fou:17:655,59:2084,89:8,77:1666,3:418,59:176,62:25,12::65:125:190:69:52:69
Fou:18:510,97:1949,04:8,77:1675,07:273,97:115,6:16,36::60:131:191:62:63:66
Fou:19:271,55:1630,69:8,77:1596,14:34,55:14,58:2,16::51:131:182:68:60:54
Fou:20:517,9:1973,51:8,77:1692,61:280,9:118,52:16,6::74:119:193:64:64:65
Fou:21:273,83:1545,27:8,77:1508,44:36,83:15,54:2,44::51:121:172:48:70:54
Fou:22:672,26:2119,1:8,77:1683,84:435,26:183,65:25,85::70:122:192:76:60:56
Fou:23:182,98:1585,97:8,77:1639,99:-54,02:-22,79:-3,29::48:139:187:62:49:76
Fou:24:625,07:1949,13:8,77:1561,06:388,07:163,74:24,86::59:119:178:72:50:56
Fou:25:322,51:1786,89:8,77:1701,38:85,51:36,08:5,03::67:127:194:68:66:60
Fou:26:791:2176,45:8,77:1622,45:554:233,76:34,15::57:128:185:55:67:63
Fou:27:531,85:2031,31:8,77:1736,46:294,85:124,41:16,98::62:136:198:64:60:74
Fou:28:356,62:1680,68:8,77:1561,06:119,62:50,47:7,66::62:116:178:58:61:59
Fou:29:403,19:1858,8:8,77:1692,61:166,19:70,12:9,82::63:130:193:68:56:69
Fou:30:785,65:2328,96:8,77:1780,31:548,65:231,5:30,82::70:133:203:71:59:73
Fou:31:880,19:2458,58:8,77:1815,39:643,19:271,39:35,43::79:128:207:69:69:69
Fou:32:747,85:1957,9:8,77:1447,05:510,85:215,55:35,3::56:109:165:59:60:46
Fou:33:546,23:2133,39:8,77:1824,16:309,23:130,48:16,95::71:137:208:72:70:66
Fou:34:396,88:1896,34:8,77:1736,46:159,88:67,46:9,21::65:133:198:66:77:55
Fou:35:811,61:2319,84:8,77:1745,23:574,61:242,45:32,92::73:126:199:80:59:60
Fou:36:357,59:1699,19:8,77:1578,6:120,59:50,88:7,64::54:126:180:55:67:58
Fou:37:380,21:1844,59:8,77:1701,38:143,21:60,43:8,42::57:137:194:71:57:66
Fou:38:578,59:2051,74:8,77:1710,15:341,59:144,13:19,97::56:139:195:63:72:60
Fou:39:261,91:1638,59:8,77:1613,68:24,91:10,51:1,54::58:126:184:60:68:56
Fou:40:315,93:1683,84:8,77:1604,91:78,93:33,3:4,92::58:125:183:63:67:53
Fou:41:732,51:2196,88:8,77:1701,38:495,51:209,07:29,12::71:123:194:59:75:60
Fou:42:630,25:2120,94:8,77:1727,69:393,25:165,93:22,76::69:128:197:67:71:59
Fou:43:454,15:1918,53:8,77:1701,38:217,15:91,62:12,76::62:132:194:70:76:48
Fou:44:1364,56:2802,63:8,77:1675,07:1127,56:475,76:67,31::69:122:191:62:55:74
Fou:45:1025,16:2366,76:8,77:1578,6:788,16:332,56:49,93::74:106:180:66:56:58
Fou:46:682,78:2059,46:8,77:1613,68:445,78:188,09:27,63::65:119:184:71:51:62
Fou:47:830,73:2242,49:8,77:1648,76:593,73:250,52:36,01::66:122:188:80:51:57
Fou:48:273,22:1772,68:8,77:1736,46:36,22:15,28:2,09::63:135:198:71:67:60
Fou:49:171,84:1592,37:8,77:1657,53:-65,16:-27,49:-3,93::53:136:189:71:68:50
Fou:50:394,77:1806,53:8,77:1648,76:157,77:66,57:9,57::61:127:188:60:58:70
