Parieur:Saison:Bankroll:Gain brut:Gain moyen:Total des mises:Bénéfice:ROC:ROI:Journée d'arrêt:Victoires:Défaites:Effectués:Pari domicile:Pari nul:Pari extérieur
Frileux:1:213,5:178,21:8,77:201,71:-23,5:-9,92:-11,65::17:6:23:18:0:5
Frileux:2:139,39:104,1:8,77:201,71:-97,61:-41,19:-48,39::10:13:23:7:3:13
Frileux:3:107,47:72,18:8,77:201,71:-129,53:-54,66:-64,22::7:16:23:8:6:9
Frileux:4:131,32:96,03:8,77:201,71:-105,68:-44,59:-52,39::9:14:23:8:4:11
Frileux:5:88,17:52,88:8,77:201,71:-148,83:-62,8:-73,78::5:18:23:3:9:11
Frileux:6:149,65:114,36:8,77:201,71:-87,35:-36,86:-43,3::11:12:23:10:6:7
Frileux:7:128,08:92,79:8,77:201,71:-108,92:-45,96:-54::9:14:23:11:5:7
Frileux:8:121,32:86,03:8,77:201,71:-115,68:-48,81:-57,35::8:15:23:8:9:6
Frileux:9:142,2:106,91:8,77:201,71:-94,8:-40:-47::10:13:23:10:5:8
Frileux:10:131,5:96,21:8,77:201,71:-105,5:-44,52:-52,3::9:14:23:10:5:8
Frileux:11:88,09:52,8:8,77:201,71:-148,91:-62,83:-73,83::5:18:23:9:4:10
Frileux:12:126,5:91,21:8,77:201,71:-110,5:-46,63:-54,78::9:14:23:12:5:6
Frileux:13:95,1:59,81:8,77:201,71:-141,9:-59,87:-70,35::6:17:23:9:7:7
Frileux:14:101,33:66,04:8,77:201,71:-135,67:-57,25:-67,26::6:17:23:3:9:11
Frileux:15:77,3:42,01:8,77:201,71:-159,7:-67,38:-79,17::4:19:23:7:9:7
Frileux:16:142,81:107,52:8,77:201,71:-94,19:-39,74:-46,7::10:13:23:7:8:8
Frileux:17:101,06:65,77:8,77:201,71:-135,94:-57,36:-67,39::6:17:23:6:7:10
Frileux:18:137,9:102,61:8,77:201,71:-99,1:-41,81:-49,13::10:13:23:12:4:7
Frileux:19:99,66:64,37:8,77:201,71:-137,34:-57,95:-68,09::6:17:23:4:10:9
Frileux:20:182,1:146,81:8,77:201,71:-54,9:-23,16:-27,22::14:9:23:10:6:7
Frileux:21:107,03:71,74:8,77:201,71:-129,97:-54,84:-64,43::7:16:23:12:5:6
Frileux:22:109,31:74,02:8,77:201,71:-127,69:-53,88:-63,3::7:16:23:12:2:9
Frileux:23:78,7:43,41:8,77:201,71:-158,3:-66,79:-78,48::4:19:23:4:10:9
Frileux:24:97,73:62,44:8,77:201,71:-139,27:-58,76:-69,04::6:17:23:7:9:7
Frileux:25:150,97:115,68:8,77:201,71:-86,03:-36,3:-42,65::11:12:23:8:6:9
Frileux:26:96,86:61,57:8,77:201,71:-140,14:-59,13:-69,48::6:17:23:5:11:7
Frileux:27:119,13:83,84:8,77:201,71:-117,87:-49,73:-58,43::8:15:23:13:6:4
Frileux:28:132,29:97:8,77:201,71:-104,71:-44,18:-51,91::9:14:23:5:7:11
Frileux:29:129,04:93,75:8,77:201,71:-107,96:-45,55:-53,52::9:14:23:11:6:6
Frileux:30:86,86:51,57:8,77:201,71:-150,14:-63,35:-74,43::5:18:23:7:10:6
Frileux:31:127,37:92,08:8,77:201,71:-109,63:-46,26:-54,35::9:14:23:7:4:12
Frileux:32:118,78:83,49:8,77:201,71:-118,22:-49,88:-58,61::8:15:23:9:9:5
Frileux:33:141,85:106,56:8,77:201,71:-95,15:-40,15:-47,17::10:13:23:11:6:6
Frileux:34:159,65:124,36:8,77:201,71:-77,35:-32,64:-38,35::12:11:23:12:3:8
Frileux:35:144,3:109,01:8,77:201,71:-92,7:-39,11:-45,96::10:13:23:6:5:12
Frileux:36:109,57:74,28:8,77:201,71:-127,43:-53,77:-63,17::7:16:23:6:8:9
Frileux:37:119,13:83,84:8,77:201,71:-117,87:-49,73:-58,43::8:15:23:9:8:6
Frileux:38:142,55:107,26:8,77:201,71:-94,45:-39,85:-46,83::10:13:23:7:7:9
Frileux:39:98,7:63,41:8,77:201,71:-138,3:-58,36:-68,57::6:17:23:5:9:9
Frileux:40:151,58:116,29:8,77:201,71:-85,42:-36,04:-42,35::11:12:23:11:6:6
Frileux:41:107,99:72,7:8,77:201,71:-129,01:-54,43:-63,96::7:16:23:6:9:8
Frileux:42:161,4:126,11:8,77:201,71:-75,6:-31,9:-37,48::12:11:23:11:4:8
Frileux:43:120,1:84,81:8,77:201,71:-116,9:-49,33:-57,96::8:15:23:8:9:6
Frileux:44:66,86:31,57:8,77:201,71:-170,14:-71,79:-84,35::3:20:23:7:10:6
Frileux:45:88,7:53,41:8,77:201,71:-148,3:-62,57:-73,52::5:18:23:3:11:9
Frileux:46:129,13:93,84:8,77:201,71:-107,87:-45,52:-53,48::9:14:23:7:8:8
Frileux:47:109,83:74,54:8,77:201,71:-127,17:-53,66:-63,04::7:16:23:8:8:7
Frileux:48:97,73:62,44:8,77:201,71:-139,27:-58,76:-69,04::6:17:23:8:6:9
Frileux:49:139,57:104,28:8,77:201,71:-97,43:-41,11:-48,3::10:13:23:9:7:7
Frileux:50:112,82:77,53:8,77:201,71:-124,18:-52,4:-61,57::7:16:23:6:11:6
