Parieur:Saison:Bankroll:Gain brut:Gain moyen:Total des mises:Bénéfice:ROC:ROI:Journée d'arrêt:Victoires:Défaites:Effectués:Pari domicile:Pari nul:Pari extérieur
JetSetteur:1:288,22:3383,82:8,77:3332,6:51,22:21,61:1,54::87:293:380:77:122:181
JetSetteur:2:2733,38:5828,98:8,77:3332,6:2496,38:1053,33:74,91::142:238:380:129:128:123
JetSetteur:3:2065,19:5160,79:8,77:3332,6:1828,19:771,39:54,86::122:258:380:128:125:127
JetSetteur:4:1669,32:4764,92:8,77:3332,6:1432,32:604,35:42,98::111:269:380:137:142:101
JetSetteur:5:2882,56:5978,16:8,77:3332,6:2645,56:1116,27:79,38::127:253:380:138:128:114
JetSetteur:6:2911,76:6007,36:8,77:3332,6:2674,76:1128,59:80,26::133:247:380:131:132:117
JetSetteur:7:1907,16:5002,76:8,77:3332,6:1670,16:704,71:50,12::121:259:380:117:124:139
JetSetteur:8:2944,74:6040,34:8,77:3332,6:2707,74:1142,51:81,25::141:239:380:130:126:124
JetSetteur:9:1939,26:5034,86:8,77:3332,6:1702,26:718,25:51,08::120:260:380:121:124:135
JetSetteur:10:2866,68:5962,28:8,77:3332,6:2629,68:1109,57:78,91::134:246:380:132:133:115
JetSetteur:11:2995,6:6091,2:8,77:3332,6:2758,6:1163,97:82,78::137:243:380:133:122:125
JetSetteur:12:2583,33:5678,93:8,77:3332,6:2346,33:990,01:70,41::127:253:380:125:135:120
JetSetteur:13:2316,89:5412,49:8,77:3332,6:2079,89:877,59:62,41::126:254:380:116:137:127
JetSetteur:14:2861,77:5957,37:8,77:3332,6:2624,77:1107,5:78,76::133:247:380:131:138:111
JetSetteur:15:3214,5:6310,1:8,77:3332,6:2977,5:1256,33:89,34::139:241:380:124:126:130
JetSetteur:16:2055,99:5151,59:8,77:3332,6:1818,99:767,5:54,58::115:265:380:143:131:106
JetSetteur:17:2812,92:5908,52:8,77:3332,6:2575,92:1086,89:77,29::125:255:380:140:111:129
JetSetteur:18:2609,29:5704,89:8,77:3332,6:2372,29:1000,96:71,18::131:249:380:119:124:137
JetSetteur:19:3257,04:6352,64:8,77:3332,6:3020,04:1274,28:90,62::139:241:380:137:126:117
JetSetteur:20:1258,35:4353,95:8,77:3332,6:1021,35:430,95:30,65::114:266:380:130:131:119
JetSetteur:21:2870,98:5966,58:8,77:3332,6:2633,98:1111,38:79,04::134:246:380:148:98:134
JetSetteur:22:3070,06:6165,66:8,77:3332,6:2833,06:1195,38:85,01::135:245:380:128:124:128
JetSetteur:23:2103,78:5199,38:8,77:3332,6:1866,78:787,67:56,02::122:258:380:140:108:132
JetSetteur:24:2058,44:5154,04:8,77:3332,6:1821,44:768,54:54,66::119:261:380:137:124:119
JetSetteur:25:2426,96:5522,56:8,77:3332,6:2189,96:924,03:65,71::123:257:380:124:124:132
JetSetteur:26:2657,34:5752,94:8,77:3332,6:2420,34:1021,24:72,63::126:254:380:122:127:131
JetSetteur:27:2500,1:5595,7:8,77:3332,6:2263,1:954,89:67,91::135:245:380:132:118:130
JetSetteur:28:2984,29:6079,89:8,77:3332,6:2747,29:1159,19:82,44::142:238:380:147:118:115
JetSetteur:29:1400,87:4496,47:8,77:3332,6:1163,87:491,08:34,92::112:268:380:120:124:136
JetSetteur:30:3385,96:6481,56:8,77:3332,6:3148,96:1328,67:94,49::142:238:380:131:128:121
JetSetteur:31:3497,51:6593,11:8,77:3332,6:3260,51:1375,74:97,84::146:234:380:134:124:122
JetSetteur:32:2766,18:5861,78:8,77:3332,6:2529,18:1067,16:75,89::134:246:380:128:127:125
JetSetteur:33:3465,94:6561,54:8,77:3332,6:3228,94:1362,42:96,89::136:244:380:125:133:122
JetSetteur:34:2523,16:5618,76:8,77:3332,6:2286,16:964,63:68,6::132:248:380:126:128:126
JetSetteur:35:2968,33:6063,93:8,77:3332,6:2731,33:1152,46:81,96::135:245:380:126:122:132
JetSetteur:36:2835,55:5931,15:8,77:3332,6:2598,55:1096,44:77,97::140:240:380:130:146:104
JetSetteur:37:2358,38:5453,98:8,77:3332,6:2121,38:895,1:63,66::131:249:380:139:112:129
JetSetteur:38:3392,1:6487,7:8,77:3332,6:3155,1:1331,26:94,67::140:240:380:123:141:116
JetSetteur:39:2971,75:6067,35:8,77:3332,6:2734,75:1153,9:82,06::131:249:380:120:141:119
JetSetteur:40:2906,24:6001,84:8,77:3332,6:2669,24:1126,26:80,09::135:245:380:116:120:144
JetSetteur:41:2541,23:5636,83:8,77:3332,6:2304,23:972,25:69,14::137:243:380:131:127:122
JetSetteur:42:2403,1:5498,7:8,77:3332,6:2166,1:913,97:65::128:252:380:123:132:125
JetSetteur:43:2747,15:5842,75:8,77:3332,6:2510,15:1059,13:75,32::131:249:380:121:128:131
JetSetteur:44:3102,77:6198,37:8,77:3332,6:2865,77:1209,19:85,99::132:248:380:126:130:124
JetSetteur:45:2099,48:5195,08:8,77:3332,6:1862,48:785,86:55,89::122:258:380:122:127:131
JetSetteur:46:2446,08:5541,68:8,77:3332,6:2209,08:932,1:66,29::136:244:380:122:126:132
JetSetteur:47:2603,94:5699,54:8,77:3332,6:2366,94:998,71:71,02::120:260:380:135:119:126
JetSetteur:48:1791,75:4887,35:8,77:3332,6:1554,75:656,01:46,65::114:266:380:130:129:121
JetSetteur:49:2075,72:5171,32:8,77:3332,6:1838,72:775,83:55,17::127:253:380:124:124:132
JetSetteur:50:2085,89:5181,49:8,77:3332,6:1848,89:780,12:55,48::111:269:380:146:131:103
