Parieur:Saison:Bankroll:Gain brut:Gain moyen:Total des mises:Bénéfice:ROC:ROI:Journée d'arrêt:Victoires:Défaites:Effectués:Pari domicile:Pari nul:Pari extérieur
Professor:1:-514,72:476,41:202,98:1228,13:-751,72:-317,18:-61,21:J2:3:7:10:1:2:7
Professor:2:-266,09:0:0:503,09:-503,09:-212,27:-100:J28:0:4:4:2:0:2
Professor:3:246,59:81,45:20,97:71,86:9,59:4,05:13,35:J24:2:3:5:2:2:1
Professor:4:-301,26:3107,32:712,8:3645,58:-538,26:-227,11:-14,76:J5:5:8:13:4:4:5
Professor:5:-408,88:19,56:8,77:665,44:-645,88:-272,52:-97,06:J32:1:5:6:0:3:3
Professor:6:-354,19:62,32:26,86:653,51:-591,19:-249,45:-90,46:J19:1:5:6:3:2:1
Professor:7:-337,44:121,04:25,22:695,48:-574,44:-242,38:-82,6:J36:2:4:6:1:5:0
Professor:8:1868,72:2920,85:291,3:1289,13:1631,72:688,49:126,58:J9:6:7:13:2:6:5
Professor:9:1519,21:5390,17:1204,24:4107,97:1282,21:541,01:31,21:J15:3:7:10:4:3:3
Professor:10:-914,39:134,36:36,51:1285,75:-1151,39:-485,82:-89,55:J10:1:5:6:2:3:1
Professor:11:-792,18:291,37:29,82:1320,55:-1029,18:-434,25:-77,94:J18:3:8:11:3:1:7
Professor:12:1017,95:3179,03:533,28:2398,08:780,95:329,52:32,57:J19:3:7:10:2:7:1
Professor:13:-667,3:437,18:90,51:1341,48:-904,3:-381,56:-67,41:J19:5:8:13:2:6:5
Professor:14:62,38:1548,06:218,96:1722,69:-174,62:-73,68:-10,14:J33:2:6:8:0:3:5
Professor:15:-402,71:374,96:51,86:1014,67:-639,71:-269,92:-63,05:J2:4:8:12:4:1:7
Professor:16:-920,11:1109,96:215,66:2267,07:-1157,11:-488,23:-51,04:J22:4:10:14:4:4:6
Professor:17:-873,56:176,95:25,01:1287,5:-1110,56:-468,59:-86,26:J37:4:9:13:5:5:3
Professor:18:-508,32:44,03:8,77:789,35:-745,32:-314,48:-94,42:J5:2:8:10:4:3:3
Professor:19:-452,4:60,21:10,66:749,61:-689,4:-290,89:-91,97:J21:1:5:6:3:1:2
Professor:20:-289,43:3851,07:835,58:4377,5:-526,43:-222,12:-12,03:J6:4:9:13:2:5:6
Professor:21:-474,29:741,54:287,42:1452,83:-711,29:-300,12:-48,96:J23:1:7:8:1:4:3
Professor:22:-388,73:0:0:625,73:-625,73:-264,02:-100:J16:0:3:3:1:2:0
Professor:23:7,65:0:0:229,35:-229,35:-96,77:-100:J9:0:2:2:1:1:0
Professor:24:-528,63:96,82:8,77:862,45:-765,63:-323,05:-88,77:J37:4:4:8:5:3:0
Professor:25:132,92:32,36:8,77:136,44:-104,08:-43,92:-76,28:J29:1:4:5:4:0:1
Professor:26:-825,53:880,64:265,19:1943,16:-1062,53:-448,32:-54,68:J22:2:6:8:4:2:2
Professor:27:94,67:184,49:49,07:326,82:-142,33:-60,05:-43,55:J37:1:6:7:2:1:4
Professor:28:24,41:366,57:71,71:579,16:-212,59:-89,7:-36,71:J12:2:5:7:3:1:3
Professor:29:1006,7:5646,2:538,96:4876,5:769,7:324,77:15,78:J33:6:12:18:6:10:2
Professor:30:30,49:36,66:8,77:243,17:-206,51:-87,14:-84,92:J32:1:2:3:1:0:2
Professor:31:-133,97:17,72:8,77:388,68:-370,97:-156,53:-95,44:J36:1:4:5:1:3:1
Professor:32:-918,04:0:0:1155,04:-1155,04:-487,36:-100:J28:0:5:5:1:3:1
Professor:33:2671,89:10595,21:332,99:8160,32:2434,89:1027,38:29,84:J29:6:7:13:4:4:5
Professor:34:483,3:852,37:180,52:606,07:246,3:103,92:40,64:J6:3:4:7:2:2:3
Professor:35:-294,63:26,66:8,77:558,29:-531,63:-224,31:-95,22:J30:1:6:7:3:1:3
Professor:36:-476,12:1031,04:314,11:1744,16:-713,12:-300,89:-40,89:J36:5:8:13:2:3:8
Professor:37:3595,33:10060,16:555,21:6701,83:3358,33:1417,02:50,11:J11:6:7:13:3:5:5
Professor:38:-130,48:58,67:8,77:426,15:-367,48:-155,05:-86,23:J36:2:4:6:2:3:1
Professor:39:884,09:1514,52:144,79:867,43:647,09:273,03:74,6:J19:3:3:6:3:2:1
Professor:40:-621,51:370,74:44,42:1229,25:-858,51:-362,24:-69,84:J18:2:6:8:4:2:2
Professor:41:-878,08:441,83:198,13:1556,91:-1115,08:-470,5:-71,62:J29:1:5:6:2:2:2
Professor:42:570,91:6199,44:687,58:5865,53:333,91:140,89:5,69:J25:3:6:9:4:4:1
Professor:43:-630,32:583,27:207,8:1450,59:-867,32:-365,96:-59,79:J32:6:7:13:4:4:5
Professor:44:729,67:3422,98:108,13:2930,31:492,67:207,88:16,81:J8:7:12:19:7:5:7
Professor:45:-24,37:2708,26:808,92:2969,64:-261,37:-110,28:-8,8:J32:4:7:11:1:6:4
Professor:46:454,79:1044,05:220,55:826,27:217,79:91,89:26,36:J25:2:4:6:3:1:2
Professor:47:-761,82:855,51:121,92:1854,33:-998,82:-421,44:-53,86:J18:4:9:13:2:2:9
Professor:48:-336,58:119,91:34,66:693,49:-573,58:-242,02:-82,71:J23:1:5:6:1:3:2
Professor:49:-13,11:80,08:18,51:330,19:-250,11:-105,53:-75,75:J2:3:4:7:2:4:1
Professor:50:-480,3:90,68:8,77:807,98:-717,3:-302,66:-88,78:J28:2:5:7:2:2:3
