Parieur:Saison:Bankroll:Gain brut:Gain moyen:Total des mises:Bénéfice:ROC:ROI:Journée d'arrêt:Victoires:Défaites:Effectués:Pari domicile:Pari nul:Pari extérieur
Technicien:1:315,01:2519,16:836,48:2441,15:78,01:32,91:3,2:J2:3:5:8:4:1:3
Technicien:2:1856,38:3512,72:385,73:1893,33:1619,38:683,28:85,53:J15:4:5:9:4:3:2
Technicien:3:-559,87:273,37:154,28:1070,24:-796,87:-336,23:-74,46:J24:2:6:8:2:3:3
Technicien:4:-249,15:211,09:57,91:697,24:-486,15:-205,13:-69,73:J2:2:10:12:3:4:5
Technicien:5:-767,51:33,94:8,77:1038,45:-1004,51:-423,85:-96,73:J32:2:5:7:2:2:3
Technicien:6:197,05:1479,84:400,92:1519,78:-39,95:-16,85:-2,63:J35:4:7:11:4:0:7
Technicien:7:-921,44:0:0:1158,44:-1158,44:-488,79:-100:J14:0:5:5:2:3:0
Technicien:8:4590,92:13705,04:1025,24:9351,12:4353,92:1837,1:46,56:J31:8:12:20:6:6:8
Technicien:9:-884,02:790,4:241,58:1911,42:-1121,02:-473:-58,65:J15:3:7:10:4:2:4
Technicien:10:315,16:274,76:33,16:196,6:78,16:32,98:39,76:J10:4:6:10:5:1:4
Technicien:11:-223,43:520,41:456,5:980,84:-460,43:-194,27:-46,94:J18:1:4:5:2:1:2
Technicien:12:1591,04:9591,68:557,35:8237,64:1354,04:571,32:16,44:J27:4:9:13:3:6:4
Technicien:13:-323,2:1650,6:197,2:2210,8:-560,2:-236,37:-25,34:J19:3:5:8:2:5:1
Technicien:14:25,36:586,54:180,18:798,18:-211,64:-89,3:-26,52:J33:3:6:9:5:3:1
Technicien:15:-787,17:696,63:90,35:1720,8:-1024,17:-432,14:-59,52:J2:1:9:10:1:3:6
Technicien:16:-612,11:17,98:8,77:867,09:-849,11:-358,27:-97,93:J3:1:4:5:1:1:3
Technicien:17:-423,73:389,61:131,62:1050,34:-660,73:-278,79:-62,91:J17:1:7:8:1:3:4
Technicien:18:-361,18:0:0:598,18:-598,18:-252,4:-100:J36:0:4:4:1:2:1
Technicien:19:-763,87:0:0:1000,87:-1000,87:-422,31:-100:J23:0:4:4:0:3:1
Technicien:20:21,33:0:0:215,67:-215,67:-91:-100:J37:0:4:4:3:0:1
Technicien:21:-471,62:383,45:39,13:1092,07:-708,62:-298,99:-64,89:J29:4:6:10:4:4:2
Technicien:22:-421,13:35,96:8,77:694,08:-658,13:-277,69:-94,82:J16:1:8:9:3:3:3
Technicien:23:-646,02:304,11:45,69:1187,13:-883,02:-372,58:-74,38:J9:4:9:13:3:2:8
Technicien:24:4215,98:6075,82:822,03:2096,84:3978,98:1678,9:189,76:J37:5:4:9:2:3:4
Technicien:25:-82,61:289,02:110,63:608,63:-319,61:-134,86:-52,51:J29:2:5:7:1:2:4
Technicien:26:2396,79:9752,82:848,12:7593,03:2159,79:911,3:28,44:J11:7:10:17:5:6:6
Technicien:27:64,44:213,25:43,77:385,81:-172,56:-72,81:-44,73:J37:2:6:8:4:1:3
Technicien:28:231,88:609,11:38,58:614,23:-5,12:-2,16:-0,83:J23:5:4:9:4:3:2
Technicien:29:-269,3:0:0:506,3:-506,3:-213,63:-100:J24:0:5:5:4:1:0
Technicien:30:36,73:82,87:10,9:283,14:-200,27:-84,5:-70,73:J32:2:6:8:4:2:2
Technicien:31:-55,22:121,97:13,86:414,18:-292,22:-123,3:-70,55:J18:2:5:7:1:6:0
Technicien:32:-215,09:0:0:452,09:-452,09:-190,75:-100:J28:0:6:6:2:2:2
Technicien:33:14860,22:20413,96:1171,13:5790,75:14623,22:6170,13:252,53:J29:5:7:12:4:5:3
Technicien:34:-300,66:1453,04:113,54:1990,7:-537,66:-226,86:-27,01:J35:6:9:15:7:4:4
Technicien:35:-398,5:0:0:635,5:-635,5:-268,14:-100:J9:0:5:5:2:2:1
Technicien:36:-227,33:1193,4:105,7:1657,73:-464,33:-195,92:-28,01:J36:2:6:8:3:4:1
Technicien:37:809,9:24122,88:3685,01:23549,98:572,9:241,73:2,43:J11:7:11:18:4:6:8
Technicien:38:-565,33:73,05:12,36:875,38:-802,33:-338,54:-91,65:J36:2:6:8:3:2:3
Technicien:39:-332,32:669,82:185:1239,14:-569,32:-240,22:-45,95:J19:3:6:9:5:2:2
Technicien:40:-115,66:174,58:61,82:527,23:-352,66:-148,8:-66,89:J24:2:5:7:2:1:4
Technicien:41:859,41:1799,62:369,08:1177,21:622,41:262,62:52,87:J8:3:6:9:0:3:6
Technicien:42:-548,41:1075,22:277,12:1860,62:-785,41:-331,39:-42,21:J17:1:8:9:4:1:4
Technicien:43:-359,09:501,51:87,75:1097,6:-596,09:-251,51:-54,31:J12:4:5:9:4:3:2
Technicien:44:-75,57:0:0:312,57:-312,57:-131,89:-100:J19:0:4:4:0:2:2
Technicien:45:-587,95:0:0:824,95:-824,95:-348,08:-100:J18:0:5:5:1:2:2
Technicien:46:485,42:840,58:94,34:592,16:248,42:104,82:41,95:J25:2:3:5:3:1:1
Technicien:47:-922,78:634,52:104,71:1794,3:-1159,78:-489,36:-64,64:J28:1:7:8:2:1:5
Technicien:48:349,2:549,06:47,51:436,86:112,2:47,34:25,68:J23:5:4:9:1:5:3
Technicien:49:958,81:14499,4:2060,21:13777,6:721,81:304,56:5,24:J10:9:9:18:3:10:5
Technicien:50:-378,61:0:0:615,61:-615,61:-259,75:-100:J28:0:5:5:1:4:0
