Parieur:Saison:Bankroll:Gain brut:Gain moyen:Total des mises:Bénéfice:ROC:ROI:Journée d'arrêt:Victoires:Défaites:Effectués:Pari domicile:Pari nul:Pari extérieur
Chauvin:1:280,76:377,02:8,77:333,26:43,76:18,47:13,13::12:26:38:19:0:19
Chauvin:2:210,08:306,34:8,77:333,26:-26,92:-11,36:-8,08::12:26:38:19:0:19
Chauvin:3:222:318,26:8,77:333,26:-15:-6,33:-4,5::12:26:38:19:0:19
Chauvin:4:226,56:322,82:8,77:333,26:-10,44:-4,4:-3,13::12:26:38:19:0:19
Chauvin:5:247,09:343,35:8,77:333,26:10,09:4,26:3,03::12:26:38:19:0:19
Chauvin:6:204,9:301,16:8,77:333,26:-32,1:-13,54:-9,63::12:26:38:19:0:19
Chauvin:7:275,85:372,11:8,77:333,26:38,85:16,39:11,66::12:26:38:19:0:19
Chauvin:8:226,65:322,91:8,77:333,26:-10,35:-4,37:-3,11::12:26:38:19:0:19
Chauvin:9:250,51:346,77:8,77:333,26:13,51:5,7:4,05::12:26:38:19:0:19
Chauvin:10:180,96:277,22:8,77:333,26:-56,04:-23,65:-16,82::12:26:38:19:0:19
Chauvin:11:228,41:324,67:8,77:333,26:-8,59:-3,63:-2,58::12:26:38:19:0:19
Chauvin:12:237,79:334,05:8,77:333,26:0,79:0,33:0,24::12:26:38:19:0:19
Chauvin:13:291,64:387,9:8,77:333,26:54,64:23,05:16,39::12:26:38:19:0:19
Chauvin:14:199,46:295,72:8,77:333,26:-37,54:-15,84:-11,26::12:26:38:19:0:19
Chauvin:15:180,87:277,13:8,77:333,26:-56,13:-23,68:-16,84::12:26:38:19:0:19
Chauvin:16:274,27:370,53:8,77:333,26:37,27:15,73:11,18::12:26:38:19:0:19
Chauvin:17:246,82:343,08:8,77:333,26:9,82:4,14:2,95::12:26:38:19:0:19
Chauvin:18:224,11:320,37:8,77:333,26:-12,89:-5,44:-3,87::12:26:38:19:0:19
Chauvin:19:215,51:311,77:8,77:333,26:-21,49:-9,07:-6,45::12:26:38:19:0:19
Chauvin:20:226,21:322,47:8,77:333,26:-10,79:-4,55:-3,24::12:26:38:19:0:19
Chauvin:21:281,11:377,37:8,77:333,26:44,11:18,61:13,24::12:26:38:19:0:19
Chauvin:22:184,82:281,08:8,77:333,26:-52,18:-22,02:-15,66::12:26:38:19:0:19
Chauvin:23:261,56:357,82:8,77:333,26:24,56:10,36:7,37::12:26:38:19:0:19
Chauvin:24:253,05:349,31:8,77:333,26:16,05:6,77:4,82::12:26:38:19:0:19
Chauvin:25:202,97:299,23:8,77:333,26:-34,03:-14,36:-10,21::12:26:38:19:0:19
Chauvin:26:240,07:336,33:8,77:333,26:3,07:1,3:0,92::12:26:38:19:0:19
Chauvin:27:273,04:369,3:8,77:333,26:36,04:15,21:10,82::12:26:38:19:0:19
Chauvin:28:271,82:368,08:8,77:333,26:34,82:14,69:10,45::12:26:38:19:0:19
Chauvin:29:247,09:343,35:8,77:333,26:10,09:4,26:3,03::12:26:38:19:0:19
Chauvin:30:177,8:274,06:8,77:333,26:-59,2:-24,98:-17,76::12:26:38:19:0:19
Chauvin:31:225,51:321,77:8,77:333,26:-11,49:-4,85:-3,45::12:26:38:19:0:19
Chauvin:32:293,83:390,09:8,77:333,26:56,83:23,98:17,05::12:26:38:19:0:19
Chauvin:33:268,57:364,83:8,77:333,26:31,57:13,32:9,47::12:26:38:19:0:19
Chauvin:34:313,91:410,17:8,77:333,26:76,91:32,45:23,08::12:26:38:19:0:19
Chauvin:35:223,58:319,84:8,77:333,26:-13,42:-5,66:-4,03::12:26:38:19:0:19
Chauvin:36:274,27:370,53:8,77:333,26:37,27:15,73:11,18::12:26:38:19:0:19
Chauvin:37:292,34:388,6:8,77:333,26:55,34:23,35:16,61::12:26:38:19:0:19
Chauvin:38:202,27:298,53:8,77:333,26:-34,73:-14,65:-10,42::12:26:38:19:0:19
Chauvin:39:202,27:298,53:8,77:333,26:-34,73:-14,65:-10,42::12:26:38:19:0:19
Chauvin:40:256,64:352,9:8,77:333,26:19,64:8,29:5,89::12:26:38:19:0:19
Chauvin:41:249,98:346,24:8,77:333,26:12,98:5,48:3,89::12:26:38:19:0:19
Chauvin:42:297,78:394,04:8,77:333,26:60,78:25,64:18,24::12:26:38:19:0:19
Chauvin:43:293,3:389,56:8,77:333,26:56,3:23,76:16,89::12:26:38:19:0:19
Chauvin:44:263,31:359,57:8,77:333,26:26,31:11,1:7,89::12:26:38:19:0:19
Chauvin:45:301,46:397,72:8,77:333,26:64,46:27,2:19,34::12:26:38:19:0:19
Chauvin:46:174,12:270,38:8,77:333,26:-62,88:-26,53:-18,87::12:26:38:19:0:19
Chauvin:47:269,1:365,36:8,77:333,26:32,1:13,54:9,63::12:26:38:19:0:19
Chauvin:48:239,89:336,15:8,77:333,26:2,89:1,22:0,87::12:26:38:19:0:19
Chauvin:49:286,38:382,64:8,77:333,26:49,38:20,83:14,82::12:26:38:19:0:19
Chauvin:50:268,92:365,18:8,77:333,26:31,92:13,47:9,58::12:26:38:19:0:19
