Parieur:Saison:Bankroll:Gain brut:Gain moyen:Total des mises:Bénéfice:ROC:ROI:Journée d'arrêt:Victoires:Défaites:Effectués:Pari domicile:Pari nul:Pari extérieur
Fou:1:163,42:1566,41:8,77:1639,99:-73,58:-31,05:-4,49::64:123:187:66:64:57
Fou:2:342,77:1701,91:8,77:1596,14:105,77:44,63:6,63::52:130:182:55:65:62
Fou:3:342,59:1789,43:8,77:1683,84:105,59:44,55:6,27::60:132:192:72:56:64
Fou:4:653,31:2047,53:8,77:1631,22:416,31:175,66:25,52::62:124:186:68:71:47
Fou:5:119,48:1566,32:8,77:1683,84:-117,52:-49,59:-6,98::52:140:192:64:53:75
Fou:6:332,94:1692,08:8,77:1596,14:95,94:40,48:6,01::60:122:182:65:65:52
Fou:7:796,35:2479,98:8,77:1920,63:559,35:236,01:29,12::83:136:219:71:81:67
Fou:8:544,74:2017,89:8,77:1710,15:307,74:129,85:17,99::62:133:195:66:68:61
Fou:9:512,47:1827,76:8,77:1552,29:275,47:116,23:17,75::62:115:177:60:62:55
Fou:10:654,36:2092,43:8,77:1675,07:417,36:176,1:24,92::63:128:191:61:68:62
Fou:11:648,93:2034,38:8,77:1622,45:411,93:173,81:25,39::67:118:185:63:52:70
Fou:12:186,48:1703,48:8,77:1754:-50,52:-21,31:-2,88::65:135:200:58:75:67
Fou:13:687,69:2169,61:8,77:1718,92:450,69:190,16:26,22::66:130:196:72:60:64
Fou:14:552,37:1990,44:8,77:1675,07:315,37:133,07:18,83::64:127:191:60:66:65
Fou:15:284,18:1678,4:8,77:1631,22:47,18:19,91:2,89::54:132:186:61:67:58
Fou:16:686,29:2080,51:8,77:1631,22:449,29:189,57:27,54::62:124:186:57:52:77
Fou:17:392,76:1822,06:8,77:1666,3:155,76:65,72:9,35::59:131:190:69:63:58
Fou:18:563,77:1879,06:8,77:1552,29:326,77:137,88:21,05::58:119:177:55:67:55
Fou:19:430,99:1956,76:8,77:1762,77:193,99:81,85:11::67:134:201:62:73:66
Fou:20:243,75:1550,27:8,77:1543,52:6,75:2,85:0,44::45:131:176:55:60:61
Fou:21:803,02:2249,86:8,77:1683,84:566,02:238,83:33,61::72:120:192:71:57:64
Fou:22:768,37:2285,37:8,77:1754:531,37:224,21:30,3::69:131:200:72:67:61
Fou:23:419,77:1954,31:8,77:1771,54:182,77:77,12:10,32::64:138:202:59:68:75
Fou:24:331,37:1708,05:8,77:1613,68:94,37:39,82:5,85::59:125:184:58:72:54
Fou:25:596,83:1982,28:8,77:1622,45:359,83:151,83:22,18::65:120:185:63:57:65
Fou:26:485,45:1721,81:8,77:1473,36:248,45:104,83:16,86::56:112:168:62:52:54
Fou:27:749,08:2195,92:8,77:1683,84:512,08:216,07:30,41::62:130:192:72:58:62
Fou:28:807,75:2131,81:8,77:1561,06:570,75:240,82:36,56::66:112:178:63:49:66
Fou:29:524,04:2076,12:8,77:1789,08:287,04:121,11:16,04::64:140:204:73:68:63
Fou:30:717,33:2094,01:8,77:1613,68:480,33:202,67:29,77::65:119:184:66:55:63
Fou:31:188,59:1591,58:8,77:1639,99:-48,41:-20,43:-2,95::59:128:187:67:63:57
Fou:32:346,63:1802,23:8,77:1692,61:109,63:46,26:6,48::67:126:193:63:66:64
Fou:33:412,66:1894,58:8,77:1718,92:175,66:74,12:10,22::60:136:196:70:62:64
Fou:34:527,81:1948,34:8,77:1657,53:290,81:122,71:17,54::57:132:189:68:60:61
Fou:35:340,92:1656,21:8,77:1552,29:103,92:43,85:6,69::55:122:177:59:53:65
Fou:36:637,88:2023,33:8,77:1622,45:400,88:169,15:24,71::65:120:185:51:64:70
Fou:37:624,46:2018,68:8,77:1631,22:387,46:163,48:23,75::56:130:186:45:75:66
Fou:38:701,9:2236,44:8,77:1771,54:464,9:196,16:26,24::63:139:202:66:65:71
Fou:39:10,47:1545,01:8,77:1771,54:-226,53:-95,58:-12,79::52:150:202:70:69:63
Fou:40:325,4:1789,78:8,77:1701,38:88,4:37,3:5,2::58:136:194:63:60:71
Fou:41:486,95:1933,78:8,77:1683,84:249,95:105,46:14,84::63:129:192:64:67:61
Fou:42:791,18:2281,87:8,77:1727,69:554,18:233,83:32,08::69:128:197:64:55:78
Fou:43:500,01:1955,62:8,77:1692,61:263,01:110,98:15,54::66:127:193:70:55:68
Fou:44:568,51:2085,51:8,77:1754:331,51:139,88:18,9::60:140:200:65:61:74
Fou:45:574,47:1924,84:8,77:1587,37:337,47:142,39:21,26::56:125:181:55:64:62
Fou:46:169,03:1510,63:8,77:1578,6:-67,97:-28,68:-4,31::55:125:180:55:69:56
Fou:47:298,13:1788,82:8,77:1727,69:61,13:25,79:3,54::63:134:197:58:71:68
Fou:48:-51,97:1237,01:8,77:1525,98:-288,97:-121,93:-18,94::49:125:174:58:66:50
Fou:49:750,22:2100,59:8,77:1587,37:513,22:216,55:32,33::63:118:181:53:58:70
Fou:50:303,39:1706,38:8,77:1639,99:66,39:28,01:4,05::57:130:187:61:68:58
