Parieur:Saison:Bankroll:Gain brut:Gain moyen:Total des mises:Bénéfice:ROC:ROI:Journée d'arrêt:Victoires:Défaites:Effectués:Pari domicile:Pari nul:Pari extérieur
JetSetteur:1:288,22:3383,82:8,77:3332,6:51,22:21,61:1,54::87:293:380:77:122:181
JetSetteur:2:2843,27:5938,87:8,77:3332,6:2606,27:1099,69:78,21::135:245:380:137:132:111
JetSetteur:3:1496,72:4592,32:8,77:3332,6:1259,72:531,53:37,8::113:267:380:127:126:127
JetSetteur:4:2358,2:5453,8:8,77:3332,6:2121,2:895,02:63,65::129:251:380:121:134:125
JetSetteur:5:3179,77:6275,37:8,77:3332,6:2942,77:1241,68:88,3::141:239:380:150:118:112
JetSetteur:6:2089,49:5185,09:8,77:3332,6:1852,49:781,64:55,59::123:257:380:125:127:128
JetSetteur:7:2817,05:5912,65:8,77:3332,6:2580,05:1088,63:77,42::133:247:380:119:119:142
JetSetteur:8:2591,83:5687,43:8,77:3332,6:2354,83:993,6:70,66::131:249:380:128:134:118
JetSetteur:9:2541,49:5637,09:8,77:3332,6:2304,49:972,36:69,15::125:255:380:118:140:122
JetSetteur:10:1585,83:4681,43:8,77:3332,6:1348,83:569,12:40,47::108:272:380:119:126:135
JetSetteur:11:2509,31:5604,91:8,77:3332,6:2272,31:958,78:68,18::123:257:380:130:134:116
JetSetteur:12:2766,36:5861,96:8,77:3332,6:2529,36:1067,24:75,9::139:241:380:124:129:127
JetSetteur:13:2072,56:5168,16:8,77:3332,6:1835,56:774,5:55,08::126:254:380:122:123:135
JetSetteur:14:2069,23:5164,83:8,77:3332,6:1832,23:773,09:54,98::134:246:380:117:132:131
JetSetteur:15:2131,32:5226,92:8,77:3332,6:1894,32:799,29:56,84::121:259:380:134:118:128
JetSetteur:16:3219,68:6315,28:8,77:3332,6:2982,68:1258,51:89,5::127:253:380:121:121:138
JetSetteur:17:3353,33:6448,93:8,77:3332,6:3116,33:1314,91:93,51::140:240:380:127:113:140
JetSetteur:18:2008,63:5104,23:8,77:3332,6:1771,63:747,52:53,16::119:261:380:120:132:128
JetSetteur:19:3575,04:6670,64:8,77:3332,6:3338,04:1408,45:100,16::145:235:380:121:113:146
JetSetteur:20:2189,9:5285,5:8,77:3332,6:1952,9:824,01:58,6::127:253:380:153:119:108
JetSetteur:21:2168,24:5263,84:8,77:3332,6:1931,24:814,87:57,95::126:254:380:136:125:119
JetSetteur:22:1035,33:4130,93:8,77:3332,6:798,33:336,85:23,96::101:279:380:128:129:123
JetSetteur:23:2458,79:5554,39:8,77:3332,6:2221,79:937,46:66,67::111:269:380:140:124:116
JetSetteur:24:2805,47:5901,07:8,77:3332,6:2568,47:1083,74:77,07::137:243:380:129:131:120
JetSetteur:25:2896,24:5991,84:8,77:3332,6:2659,24:1122,04:79,79::135:245:380:139:128:113
JetSetteur:26:1919,26:5014,86:8,77:3332,6:1682,26:709,81:50,48::118:262:380:113:135:132
JetSetteur:27:3112,68:6208,28:8,77:3332,6:2875,68:1213,37:86,29::130:250:380:123:133:124
JetSetteur:28:2543,6:5639,2:8,77:3332,6:2306,6:973,25:69,21::133:247:380:128:126:126
JetSetteur:29:3168,28:6263,88:8,77:3332,6:2931,28:1236,83:87,96::144:236:380:131:124:125
JetSetteur:30:2077,82:5173,42:8,77:3332,6:1840,82:776,72:55,24::123:257:380:129:134:117
JetSetteur:31:1977,41:5073,01:8,77:3332,6:1740,41:734,35:52,22::114:266:380:125:130:125
JetSetteur:32:3611,61:6707,21:8,77:3332,6:3374,61:1423,89:101,26::148:232:380:145:112:123
JetSetteur:33:3202,4:6298:8,77:3332,6:2965,4:1251,22:88,98::139:241:380:126:116:138
JetSetteur:34:2528,78:5624,38:8,77:3332,6:2291,78:966,99:68,77::131:249:380:139:119:122
JetSetteur:35:3101,55:6197,15:8,77:3332,6:2864,55:1208,67:85,96::136:244:380:131:122:127
JetSetteur:36:1948,9:5044,5:8,77:3332,6:1711,9:722,32:51,37::117:263:380:128:133:119
JetSetteur:37:3270,63:6366,23:8,77:3332,6:3033,63:1280,01:91,03::139:241:380:128:130:122
JetSetteur:38:2147,46:5243,06:8,77:3332,6:1910,46:806,1:57,33::127:253:380:120:122:138
JetSetteur:39:2692,25:5787,85:8,77:3332,6:2455,25:1035,97:73,67::136:244:380:128:129:123
JetSetteur:40:2815,73:5911,33:8,77:3332,6:2578,73:1088,07:77,38::129:251:380:113:121:146
JetSetteur:41:2327,86:5423,46:8,77:3332,6:2090,86:882,22:62,74::123:257:380:117:130:133
JetSetteur:42:2294,18:5389,78:8,77:3332,6:2057,18:868,01:61,73::123:257:380:113:136:131
JetSetteur:43:3249,5:6345,09:8,77:3332,6:3012,5:1271,09:90,39::144:236:380:132:128:120
JetSetteur:44:1947,85:5043,45:8,77:3332,6:1710,85:721,88:51,34::123:257:380:128:113:139
JetSetteur:45:3112,6:6208,2:8,77:3332,6:2875,6:1213,33:86,29::146:234:380:125:121:134
JetSetteur:46:2360,57:5456,17:8,77:3332,6:2123,57:896,02:63,72::121:259:380:135:122:123
JetSetteur:47:1847:4942,6:8,77:3332,6:1610:679,32:48,31::116:264:380:125:129:126
JetSetteur:48:2529,21:5624,81:8,77:3332,6:2292,21:967,18:68,78::120:260:380:137:126:117
JetSetteur:49:2771,35:5866,95:8,77:3332,6:2534,35:1069,35:76,05::129:251:380:133:122:125
JetSetteur:50:2316,63:5412,23:8,77:3332,6:2079,63:877,48:62,4::110:270:380:129:129:122
