Parieur:Saison:Bankroll:Gain brut:Gain moyen:Total des mises:Bénéfice:ROC:ROI:Journée d'arrêt:Victoires:Défaites:Effectués:Pari domicile:Pari nul:Pari extérieur
Professor:1:-470,08:4788,07:871,78:5495,15:-707,08:-298,34:-12,87:J3:5:8:13:4:5:4
Professor:2:-661,56:389,1:181,88:1287,67:-898,56:-379,14:-69,78:J24:2:5:7:2:3:2
Professor:3:6,17:2994,82:719,94:3225,65:-230,83:-97,4:-7,16:J26:3:8:11:1:6:4
Professor:4:-891,99:0:0:1128,99:-1128,99:-476,37:-100:J18:0:5:5:1:2:2
Professor:5:-730,34:333,59:214,44:1300,93:-967,34:-408,16:-74,36:J29:2:5:7:1:4:2
Professor:6:-259,12:456,58:236,01:952,7:-496,12:-209,33:-52,08:J22:2:4:6:2:1:3
Professor:7:-87,02:95,09:19,21:419,11:-324,02:-136,72:-77,31:J26:2:4:6:2:1:3
Professor:8:-302,21:4463,32:1868,97:5002,53:-539,21:-227,52:-10,78:J34:4:7:11:4:2:5
Professor:9:-666,36:4397,44:724,34:5300,8:-903,36:-381,16:-17,04:J28:5:8:13:5:3:5
Professor:10:-332,9:0:0:569,9:-569,9:-240,47:-100:J16:0:4:4:1:2:1
Professor:11:137,09:1757,88:555,03:1857,78:-99,91:-42,15:-5,38:J8:4:7:11:4:3:4
Professor:12:-297,81:0:0:534,81:-534,81:-225,66:-100:J20:0:4:4:2:1:1
Professor:13:173,21:1225,41:599,08:1289,2:-63,79:-26,92:-4,95:J16:2:5:7:3:1:3
Professor:14:-603,74:242,35:23,14:1083,1:-840,74:-354,74:-77,62:J28:6:4:10:5:2:3
Professor:15:-776,74:428,76:66,68:1442,5:-1013,74:-427,74:-70,28:J19:4:8:12:4:7:1
Professor:16:-550,59:672,29:402,47:1459,87:-787,59:-332,32:-53,95:J33:2:6:8:0:6:2
Professor:17:-146,86:713,21:224,99:1097,08:-383,86:-161,97:-34,99:J10:1:7:8:3:3:2
Professor:18:263,7:2912,72:562,99:2886,02:26,7:11,27:0,93:J33:6:8:14:5:3:6
Professor:19:-561,84:219,61:16,12:1018,45:-798,84:-337,07:-78,44:J33:6:8:14:6:5:3
Professor:20:199,68:1113,27:570,91:1150,58:-37,32:-15,74:-3,24:J7:1:2:3:2:1:0
Professor:21:-325,74:908,8:605,86:1471,53:-562,74:-237,44:-38,24:J22:1:5:6:4:1:1
Professor:22:-294,38:2548,08:576,71:3079,46:-531,38:-224,21:-17,26:J4:3:9:12:7:2:3
Professor:23:5230,9:37369,42:2642,43:32375,52:4993,9:2107,13:15,42:J35:9:9:18:4:8:6
Professor:24:-742,56:343,93:198,82:1323,49:-979,56:-413,32:-74,01:J27:2:8:10:3:5:2
Professor:25:1556,91:5490,28:989,04:4170,37:1319,91:556,92:31,65:J36:7:9:16:7:4:5
Professor:26:-752,18:1099,59:217,63:2088,77:-989,18:-417,37:-47,36:J3:2:6:8:3:2:3
Professor:27:643,28:1589,16:327,9:1182,89:406,28:171,43:34,35:J36:4:6:10:2:5:3
Professor:28:-383,76:60,34:8,77:681,09:-620,76:-261,92:-91,14:J22:2:4:6:1:4:1
Professor:29:69:82,09:8,77:250,09:-168:-70,89:-67,18:J18:3:5:8:2:5:1
Professor:30:-437,54:265,61:24,35:940,15:-674,54:-284,62:-71,75:J27:5:6:11:4:6:1
Professor:31:-637,72:135,42:71,27:1010,13:-874,72:-369,08:-86,59:J9:1:5:6:0:3:3
Professor:32:18873,88:46030,19:2058,22:27393,31:18636,88:7863,66:68,03:J11:14:12:26:8:12:6
Professor:33:-764,37:0:0:1001,37:-1001,37:-422,52:-100:J25:0:6:6:3:3:0
Professor:34:-238,87:215,09:64,31:690,96:-475,87:-200,79:-68,87:J19:3:6:9:4:3:2
Professor:35:428,25:312,05:31,5:120,8:191,25:80,7:158,32:J36:4:2:6:1:2:3
Professor:36:337,42:461,76:93,89:361,34:100,42:42,37:27,79:J19:5:5:10:5:1:4
Professor:37:-659,25:34,2:8,77:930,45:-896,25:-378,16:-96,32:J7:1:6:7:3:4:0
Professor:38:-311,48:463,06:104,39:1011,54:-548,48:-231,43:-54,22:J1:2:6:8:2:2:4
Professor:39:14,85:0:0:222,15:-222,15:-93,73:-100:J36:0:5:5:1:2:2
Professor:40:-423,03:0:0:660,03:-660,03:-278,5:-100:J12:0:3:3:0:1:2
Professor:41:-128,67:87,65:50,08:453,31:-365,67:-154,29:-80,67:J23:1:4:5:2:2:1
Professor:42:-847,89:104,57:11,66:1189,46:-1084,89:-457,76:-91,21:J37:3:4:7:1:4:2
Professor:43:-742,88:35,68:20,16:1015,56:-979,88:-413,45:-96,49:J5:1:5:6:2:2:2
Professor:44:6582,82:13579,79:2584,31:7233,97:6345,82:2677,56:87,72:J26:10:7:17:8:6:3
Professor:45:125,68:0:0:111,32:-111,32:-46,97:-100:J22:0:3:3:0:0:3
Professor:46:-571:415,15:278,63:1223,15:-808:-340,93:-66,06:J16:1:6:7:3:2:2
Professor:47:1588,3:9146,97:905,64:7795,67:1351,3:570,17:17,33:J31:3:6:9:1:4:4
Professor:48:403,98:3930,42:453,58:3763,45:166,98:70,45:4,44:J1:5:6:11:2:3:6
Professor:49:-717,03:35,13:16,89:989,16:-954,03:-402,54:-96,45:J16:1:6:7:2:3:2
Professor:50:161,86:0:0:75,14:-75,14:-31,71:-100:J33:0:3:3:1:2:0
