Parieur:Saison:Bankroll:Gain brut:Gain moyen:Total des mises:Bénéfice:ROC:ROI:Journée d'arrêt:Victoires:Défaites:Effectués:Pari domicile:Pari nul:Pari extérieur
Technicien:1:543,64:989,32:272,19:682,68:306,64:129,38:44,92:J2:3:5:8:1:5:2
Technicien:2:-499,05:55,47:10,92:791,52:-736,05:-310,57:-92,99:J4:1:4:5:1:2:2
Technicien:3:-440,11:0:0:677,11:-677,11:-285,7:-100:J18:0:4:4:1:0:3
Technicien:4:-822,02:0:0:1059,02:-1059,02:-446,84:-100:J11:0:7:7:4:2:1
Technicien:5:-123,62:464,28:68,68:824,9:-360,62:-152,16:-43,72:J26:2:6:8:4:3:1
Technicien:6:-551,4:4885,91:718,18:5674,31:-788,4:-332,66:-13,89:J8:6:8:14:6:5:3
Technicien:7:623,12:2571,11:363,67:2184,99:386,12:162,92:17,67:J9:2:6:8:1:2:5
Technicien:8:73,83:169,33:21,2:332,5:-163,17:-68,85:-49,07:J37:2:4:6:3:1:2
Technicien:9:-922,71:81,04:33,63:1240,75:-1159,71:-489,33:-93,47:J29:1:7:8:4:1:3
Technicien:10:31,02:0:0:205,98:-205,98:-86,91:-100:J4:0:4:4:2:1:1
Technicien:11:4211,79:6697,18:605,17:2722,38:3974,79:1677,13:146:J18:4:4:8:3:1:4
Technicien:12:145,78:1859,53:369,63:1950,75:-91,22:-38,49:-4,68:J25:2:9:11:4:1:6
Technicien:13:630,12:2113,64:650,29:1720,52:393,12:165,87:22,85:J25:3:5:8:2:5:1
Technicien:14:0,53:85,96:16,25:322,42:-236,47:-99,78:-73,34:J23:1:4:5:2:1:2
Technicien:15:399,61:897,66:189,12:735,05:162,61:68,61:22,12:J9:4:5:9:5:0:4
Technicien:16:-155,43:26,66:8,77:419,09:-392,43:-165,58:-93,64:J27:1:5:6:3:0:3
Technicien:17:-205,39:0:0:442,39:-442,39:-186,66:-100:J33:0:3:3:0:2:1
Technicien:18:2191,66:3925,93:702,26:1971,27:1954,66:824,75:99,16:J18:4:4:8:4:4:0
Technicien:19:1703,57:3103,66:286,04:1637,09:1466,57:618,8:89,58:J17:3:7:10:6:2:2
Technicien:20:-252,86:114,84:46,5:604,7:-489,86:-206,69:-81,01:J1:1:6:7:1:1:5
Technicien:21:-389,8:0:0:626,8:-626,8:-264,47:-100:J3:0:7:7:2:1:4
Technicien:22:6236,73:18016,01:1788,15:12016,28:5999,73:2531,53:49,93:J27:7:6:13:2:5:6
Technicien:23:-222,42:0:0:459,42:-459,42:-193,85:-100:J33:0:5:5:0:4:1
Technicien:24:1043,54:1797,15:238,62:990,61:806,54:340,31:81,42:J15:3:4:7:3:2:2
Technicien:25:1267,43:2969,85:612,88:1939,43:1030,43:434,78:53,13:J5:3:4:7:2:4:1
Technicien:26:-34,75:4211,04:599,05:4482,78:-271,75:-114,66:-6,06:J25:3:8:11:4:6:1
Technicien:27:-718,14:580,42:181,25:1535,56:-955,14:-403,01:-62,2:J2:5:7:12:5:6:1
Technicien:28:3769,94:17466,99:2924,52:13934,05:3532,94:1490,69:25,35:J3:5:12:17:7:9:1
Technicien:29:-553,66:0:0:790,66:-790,66:-333,61:-100:J19:0:8:8:2:2:4
Technicien:30:-67,22:424,76:169,52:728,98:-304,22:-128,36:-41,73:J22:2:4:6:2:4:0
Technicien:31:930,57:4292,09:984,47:3598,52:693,57:292,65:19,27:J33:12:9:21:7:9:5
Technicien:32:288,71:4359,48:493,9:4307,77:51,71:21,82:1,2:J24:4:6:10:0:5:5
Technicien:33:811,86:1789,97:290,91:1215,1:574,86:242,56:47,31:J21:6:6:12:3:4:5
Technicien:34:-580,69:91,73:8,77:909,42:-817,69:-345,02:-89,91:J8:3:7:10:2:5:3
Technicien:35:-857,48:531,43:30,48:1625,91:-1094,48:-461,81:-67,31:J2:3:7:10:4:2:4
Technicien:36:383,35:721,73:187,29:575,38:146,35:61,75:25,43:J32:2:5:7:2:2:3
Technicien:37:-192,14:508,25:40,1:937,4:-429,14:-181,07:-45,78:J17:5:6:11:7:1:3
Technicien:38:311,12:2359,44:807,97:2285,33:74,12:31,27:3,24:J26:2:4:6:1:2:3
Technicien:39:-208,98:1303,73:365,22:1749,71:-445,98:-188,18:-25,49:J8:2:7:9:2:4:3
Technicien:40:-144,31:1204,49:343,16:1585,8:-381,31:-160,89:-24,05:J4:1:5:6:2:1:3
Technicien:41:-607,18:174,73:23,53:1018,91:-844,18:-356,2:-82,85:J18:3:6:9:3:3:3
Technicien:42:257,28:1149,83:130,07:1129,55:20,28:8,56:1,8:J2:3:6:9:0:2:7
Technicien:43:1439,92:8281,05:216,55:7078,13:1202,92:507,56:16,99:J1:2:7:9:3:2:4
Technicien:44:5891,27:13334,87:791,23:7680,6:5654,27:2385,77:73,62:J15:5:8:13:3:5:5
Technicien:45:-261,88:194,77:22,23:693,65:-498,88:-210,5:-71,92:J35:3:8:11:5:3:3
Technicien:46:362,98:5194,99:1024,91:5069,01:125,98:53,16:2,49:J37:4:9:13:2:9:2
Technicien:47:-711,37:859,12:226,7:1807,49:-948,37:-400,16:-52,47:J34:2:7:9:3:3:3
Technicien:48:-722,13:43,15:8,77:1002,28:-959,13:-404,7:-95,69:J37:1:3:4:3:0:1
Technicien:49:142,6:400,44:53,75:494,84:-94,4:-39,83:-19,08:J18:1:7:8:1:3:4
Technicien:50:2082,98:4045,78:295,07:2199,8:1845,98:778,89:83,92:J17:8:7:15:4:8:3
