Day;Date;HomeTeam;AwayTeam;FTR;MaxH;MaxD;MaxA;AvgH;AvgD;AvgA
J1;21/08/2020;Bordeaux;Nantes;D;2.59;3.13;3.38;2.47;2.95;3.25
J1;22/08/2020;Dijon;Angers;A;2.86;3.22;2.92;2.73;03.07;2.77
J1;22/08/2020;Lille;Rennes;D;2.38;3.34;3.6;2.27;3.18;3.36
J1;23/08/2020;Monaco;Reims;D;2;3.65;4.5;1.92;3.45;4.16
J1;23/08/2020;Lorient;Strasbourg;H;2.75;3.32;03.05;2.56;3.13;2.91
J1;23/08/2020;Nimes;Brest;H;2.35;3.48;3.46;2.24;3.32;3.27
J1;23/08/2020;Nice;Lens;H;2.12;3.54;4.25;02.02;3.34;3.88
J1;28/08/2020;Lyon;Dijon;H;1.35;06.05;11.75;1.3;5.41;10.01
J1;29/08/2020;Rennes;Montpellier;H;2.1;3.48;4.15;02.04;3.28;3.9
J1;29/08/2020;Strasbourg;Nice;A;2.31;3.52;3.5;2.23;3.31;3.31
J1;30/08/2020;Reims;Lille;A;3.15;3.16;2.71;03.03;3;2.56
J1;30/08/2020;Angers;Bordeaux;A;2.4;3.25;3.6;2.28;3.1;3.44
J1;30/08/2020;Metz;Monaco;A;3.98;3.65;2.1;3.74;3.48;02.01
J1;30/08/2020;Nantes;Nimes;H;02.03;3.44;4.72;1.96;3.25;4.28
J1;30/08/2020;St Etienne;Lorient;H;2.36;3.46;3.55;2.27;3.23;3.29
J1;30/08/2020;Brest;Marseille;A;3.56;3.85;2.18;3.36;3.64;02.09
J2;10/09/2020;Lens;Paris SG;H;5.6;4.25;1.73;4.9;3.96;1.68
J2;11/09/2020;Bordeaux;Lyon;D;4.75;3.65;02.01;4.31;3.46;1.89
J2;12/09/2020;Montpellier;Nice;H;2.26;3.48;3.68;2.21;3.25;3.4
J2;12/09/2020;St Etienne;Strasbourg;H;2.24;3.48;3.75;2.16;3.23;3.56
J2;13/09/2020;Lille;Metz;H;1.61;04.06;7.7;1.56;3.82;6.65
J2;13/09/2020;Angers;Reims;H;2.51;03.08;3.58;2.39;2.96;3.36
J2;13/09/2020;Dijon;Brest;A;2.61;3.3;3.15;2.5;3.17;2.97
J2;13/09/2020;Lorient;Lens;A;2.23;3.55;3.75;2.15;3.3;3.52
J2;13/09/2020;Nimes;Rennes;A;3.5;3.42;2.4;3.29;3.24;2.27
J2;13/09/2020;Monaco;Nantes;H;02.01;3.75;4.33;1.93;3.55;3.93
J2;13/09/2020;Paris SG;Marseille;A;1.73;5.2;5;1.68;4.52;4.28
J3;15/09/2020;Montpellier;Lyon;H;4;3.52;2.13;3.79;3.39;02.05
J3;16/09/2020;Paris SG;Metz;H;1.3;7;11.75;1.26;6.33;9.36
J3;17/09/2020;Marseille;St Etienne;A;02.09;3.5;4.33;02.01;3.33;3.95
J3;18/09/2020;Lyon;Nimes;D;1.4;06.05;11.5;1.31;5.59;9.76
J3;19/09/2020;Lens;Bordeaux;H;2.45;3.25;3.55;2.36;03.07;3.32
J3;19/09/2020;Rennes;Monaco;H;2.45;3.56;3.3;2.32;3.37;3.1
J3;20/09/2020;Nice;Paris SG;A;8.5;05.05;1.46;7.45;4.7;1.42
J3;20/09/2020;Brest;Lorient;H;2.47;3.45;3.26;2.38;3.22;3.11
J3;20/09/2020;Metz;Reims;H;2.75;03.05;3.22;2.63;2.87;3.1
J3;20/09/2020;Montpellier;Angers;H;2.25;3.44;3.8;2.14;3.27;3.6
J3;20/09/2020;Strasbourg;Dijon;H;1.76;4;5.55;1.7;3.74;5.15
J3;20/09/2020;Nantes;St Etienne;D;2.4;3.4;3.44;2.32;3.2;3.25
J3;20/09/2020;Marseille;Lille;D;2.48;3.32;3.38;2.34;3.19;3.22
J4;25/09/2020;Lille;Nantes;H;1.75;3.85;6.2;1.68;3.67;5.55
J4;26/09/2020;St Etienne;Rennes;A;2.95;3.28;2.8;2.84;3.12;2.62
J4;26/09/2020;Marseille;Metz;D;1.71;3.85;6.45;1.66;3.67;5.68
J4;27/09/2020;Bordeaux;Nice;D;2.27;3.4;3.72;2.18;3.19;3.54
J4;27/09/2020;Angers;Brest;H;2.16;3.4;4;02.08;3.26;3.76
J4;27/09/2020;Dijon;Montpellier;D;4.5;3.82;1.91;4.22;3.65;1.84
J4;27/09/2020;Monaco;Strasbourg;H;1.92;3.79;4.6;1.86;3.56;4.23
J4;27/09/2020;Nimes;Lens;D;2.76;3.52;2.8;2.65;3.28;2.69
J4;27/09/2020;Lorient;Lyon;D;5.75;4.35;1.68;5.33;4.13;1.61
J4;27/09/2020;Reims;Paris SG;A;13;6.9;1.28;11.43;6.15;1.25
J5;02/10/2020;Paris SG;Angers;H;1.15;12.5;29;01.09;10.94;23.63
J5;03/10/2020;Lens;St Etienne;H;2.12;3.58;4.2;02.04;3.38;3.76
J5;03/10/2020;Nice;Nantes;H;2.52;3.38;3.11;2.44;3.23;3
J5;04/10/2020;Montpellier;Nimes;A;1.74;4;5.72;1.69;3.79;5.12
J5;04/10/2020;Bordeaux;Dijon;H;1.77;4;5.5;1.69;3.78;05.08
J5;04/10/2020;Brest;Monaco;H;3.2;3.83;2.3;03.04;3.65;2.22
J5;04/10/2020;Metz;Lorient;H;2.37;3.46;3.45;2.27;3.26;3.26
J5;04/10/2020;Strasbourg;Lille;A;3.5;3.41;2.34;3.29;3.26;2.26
J5;04/10/2020;Rennes;Reims;D;1.72;4;6.14;1.65;3.76;5.64
J5;04/10/2020;Lyon;Marseille;D;1.75;4.1;5.35;1.7;3.84;4.9
J6;16/10/2020;Dijon;Rennes;D;5.28;4.18;1.73;05.02;3.92;1.68
J6;16/10/2020;Nimes;Paris SG;A;8.3;5.35;1.45;7.19;05.02;1.41
J6;17/10/2020;Reims;Lorient;A;2.2;3.5;3.75;2.11;3.36;3.56
J6;17/10/2020;Marseille;Bordeaux;H;2.13;3.6;04.05;02.03;3.39;3.79
J6;18/10/2020;Strasbourg;Lyon;A;3.7;3.54;2.26;3.46;3.34;2.14
J6;18/10/2020;Angers;Metz;D;2.18;3.5;4.2;02.04;3.33;3.84
